$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,004300364b34500b20393636
$VAR,SESSION_ID,9bab3c02b932c3477e1f0e7b
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$HUM,105269.536,32.4,26.6
$HUM,105269.536,32.4,26.6
$BARO,105269.540,96249.46,18.82
$MAG,105269.546,0.012,0.409,-0.322,15.7
$IMU,105269.555,18.554,-13.610,-0.854,-0.05859,-0.51220,0.75195,17.78
$BARO,105269.581,96244.05,18.82
$HUM,105269.586,48.9,17.5
$BARO,105269.622,96245.00,18.82
$IMU,105269.631,51.025,-38.146,-10.620,0.08837,-0.40917,0.87353,17.81
$MAG,105269.646,-0.006,0.375,-0.321,15.7
$BARO,105269.663,96253.31,18.82
$HUM,105269.667,48.8,17.5
$BARO,105269.704,96251.14,18.83
$IMU,105269.706,27.160,-8.972,14.831,0.05224,-0.41308,0.89892,17.87
$BARO,105269.744,96246.34,18.83
$MAG,105269.746,-0.001,0.366,-0.324,15.7
$HUM,105269.748,48.7,17.5
$IMU,105269.782,11.291,10.681,27.526,-0.06494,-0.43115,0.90673,17.84
$BARO,105269.785,96235.91,18.83
$BARO,105269.826,96246.12,18.84
$HUM,105269.829,48.8,17.6
$MAG,105269.846,0.003,0.346,-0.313,15.7
$IMU,105269.857,8.178,9.643,26.672,-0.08935,-0.42626,0.91503,17.88
$BARO,105269.867,96242.07,18.84
$BARO,105269.907,96245.34,18.84
$HUM,105269.910,48.8,17.6
$IMU,105269.933,11.169,5.065,22.644,-0.07666,-0.41796,0.92285,17.92
$MAG,105269.946,0.003,0.324,-0.321,15.7
$BARO,105269.948,96243.22,18.84
$BARO,105269.989,96241.29,18.84
$HUM,105269.991,48.8,17.6
$IMU,105270.008,18.920,5.981,23.315,-0.07275,-0.33398,0.95556,17.88
$BARO,105270.030,96244.20,18.84
$MAG,105270.046,-0.001,0.312,-0.313,15.5
$BARO,105270.070,96239.95,18.84
$HUM,105270.072,48.8,17.6
$IMU,105270.084,14.831,5.615,32.043,-0.07666,-0.22314,1.00634,17.92
$BARO,105270.111,96238.17,18.85
$MAG,105270.147,-0.001,0.295,-0.309,15.8
$BARO,105270.152,96236.05,18.85
$HUM,105270.153,48.9,17.6
$IMU,105270.160,0.427,2.746,49.621,-0.09082,-0.21191,1.01171,17.92
$BARO,105270.193,96231.23,18.85
$BARO,105270.233,96239.13,18.85
$HUM,105270.235,49.0,17.6
$IMU,105270.235,-7.019,-6.225,67.443,-0.16064,-0.22705,0.95166,17.92
$MAG,105270.247,-0.030,0.307,-0.304,15.7
$BARO,105270.274,96239.71,18.85
$IMU,105270.311,-4.150,-27.282,74.645,-0.09521,-0.22900,0.93017,17.90
$BARO,105270.315,96241.47,18.85
$HUM,105270.316,48.9,17.6
$MAG,105270.347,-0.085,0.300,-0.307,15.7
$BARO,105270.356,96247.22,18.85
$IMU,105270.386,-5.981,-41.137,78.857,0.06396,-0.21240,0.94433,17.95
$BARO,105270.396,96243.56,18.85
$HUM,105270.397,49.0,17.6
$BARO,105270.437,96247.02,18.85
$MAG,105270.447,-0.130,0.334,-0.318,15.8
$IMU,105270.462,-26.916,-32.043,100.097,-0.03320,-0.30712,0.87841,17.94
$BARO,105270.478,96250.51,18.85
$HUM,105270.478,49.0,17.6
$VBAT,105270.481,3.893
$BARO,105270.519,96240.10,18.85
$IMU,105270.537,-39.367,-38.513,103.759,-0.11767,-0.29101,0.80566,17.92
$MAG,105270.547,-0.177,0.385,-0.307,15.7
$BARO,105270.559,96243.34,18.86
$HUM,105270.559,49.0,17.6
$BARO,105270.600,96242.78,18.86
$IMU,105270.613,-51.330,-48.156,83.007,-0.05322,-0.27343,0.88867,17.95
$HUM,105270.640,48.9,17.6
$BARO,105270.641,96248.75,18.86
$MAG,105270.647,-0.214,0.465,-0.288,15.7
$BARO,105270.682,96241.81,18.86
$IMU,105270.688,-75.256,-42.907,89.721,-0.14111,-0.58984,1.07421,17.96
$HUM,105270.721,48.9,17.6
$BARO,105270.722,96239.13,18.86
$MAG,105270.747,-0.217,0.564,-0.264,15.7
$BARO,105270.763,96240.64,18.86
$IMU,105270.764,-77.575,-39.978,114.685,-0.25292,-0.72460,0.89697,17.99
$HUM,105270.802,49.0,17.6
$BARO,105270.804,96249.73,18.86
$IMU,105270.839,-58.776,-48.889,112.548,-0.38671,-0.70458,0.72998,17.96
$BARO,105270.845,96239.49,18.86
$MAG,105270.847,-0.225,0.634,-0.240,15.8
$HUM,105270.884,48.9,17.6
$BARO,105270.885,96240.64,18.86
