time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2023-07-15T12:05:55.41Z,60.2749794,17.4123999,4049.412,-27.90,-6.56,26.55,67.826,53.120,0.60,193.23818,5.45398,3,5
2023-07-15T12:05:55.60Z,60.2749492,17.4123447,4043.554,-28.48,-6.45,26.49,36.324,23.793,0.38,192.75113,2.93691,3,5
2023-07-15T12:05:55.80Z,60.2749058,17.4123275,4037.395,-29.06,-5.90,26.17,35.994,25.791,0.34,191.47961,2.55769,3,5
2023-07-15T12:05:56.00Z,60.2748526,17.4123232,4031.841,-29.32,-6.15,26.45,30.001,22.265,0.36,191.85208,2.43759,3,6
2023-07-15T12:05:56.20Z,60.2748022,17.4122953,4026.619,-29.57,-6.00,26.57,25.234,19.067,0.35,191.47767,2.27877,3,6
2023-07-15T12:05:56.40Z,60.2747512,17.4122634,4021.016,-29.87,-6.04,26.80,20.873,16.000,0.35,191.42951,2.01490,3,6
2023-07-15T12:05:56.60Z,60.2746869,17.4122543,4017.093,-30.03,-5.97,26.89,16.915,12.830,0.34,191.25036,1.84424,3,7
2023-07-15T12:05:56.80Z,60.2746261,17.4122512,4012.649,-30.50,-5.61,26.30,14.144,10.786,0.38,190.42688,1.50306,3,7
2023-07-15T12:05:57.00Z,60.2745700,17.4122342,4007.680,-30.59,-5.81,25.43,12.350,9.480,0.44,190.75181,1.44469,3,7
2023-07-15T12:05:57.20Z,60.2745124,17.4122182,4002.831,-31.05,-5.71,25.84,10.614,8.299,0.46,190.41659,1.25263,3,7
2023-07-15T12:05:57.40Z,60.2744518,17.4122091,3998.242,-31.30,-5.89,25.98,9.202,7.373,0.45,190.66623,1.14352,3,7
2023-07-15T12:05:57.60Z,60.2743972,17.4121845,3992.822,-31.39,-6.16,26.40,8.218,6.732,0.42,191.11150,0.97352,3,7
2023-07-15T12:05:57.80Z,60.2743415,17.4121598,3987.451,-31.55,-6.29,26.80,7.436,6.209,0.40,191.28017,0.70424,3,7
2023-07-15T12:05:58.00Z,60.2742857,17.4121323,3981.995,-31.85,-6.53,27.04,6.737,5.762,0.40,191.58729,0.69549,3,7
2023-07-15T12:05:58.20Z,60.2742295,17.4121022,3976.396,-32.00,-6.82,27.72,6.242,5.426,0.39,192.02501,0.52457,3,7
2023-07-15T12:05:58.40Z,60.2741713,17.4120815,3970.804,-32.21,-7.11,28.13,5.907,5.146,0.34,192.43806,0.68912,3,7
2023-07-15T12:05:58.60Z,60.2741125,17.4120575,3965.172,-32.39,-7.17,28.67,5.669,4.923,0.33,192.47834,0.82300,3,7
2023-07-15T12:05:58.80Z,60.2740529,17.4120344,3959.476,-32.73,-6.94,29.20,5.480,4.733,0.33,191.97311,0.90401,3,7
2023-07-15T12:05:59.00Z,60.2739922,17.4120118,3953.791,-33.16,-6.73,29.44,5.320,4.565,0.31,191.48073,0.92622,3,7
